Mutant	Formula	Neg_R1	Neg_R2	Neg_R3	Pos_R1	Pos_R2	Pos_R3
F63912	C11H15N5O3S				30.11100663	38.17588684	34.89101533
F63912	C5H6O5	25.19051826	33.10895778	27.43376342			
F63912	C6H11NO3				9.574619355	34.84130742	33.3422244
F63912	C5H10N2O3	8.057383689	10.22765122	8.929895376			
F63912	C5H8N2O2						
F63912	C9H10O4	1.136684493	1.75807381	1.225152036			
F63912	C6H10O5	15.15172204	16.96159369	16.73373881			
F63912	C9H11NO2				134.30837	183.8139298	165.4125338
F63912	C8H11NO				2.89049765	2.815115981	2.651539382
F63912	C4H9NO2				38.99120079	51.15599172	57.84500311
F63912	C8H13NO5					0.350888561	0.223887396
F63912	C5H4N4O				7.23922905	9.418849447	7.069908296
F63912	C4H7NO2				537.1066262	716.4956	631.1297465
F63912	C6H11NO2				28.1361472	25.30423284	13.7962133
F63912	C7H8O6	1.223281288	1.176758406	0.935190356			
F63912	C5H6O4	2.761913577	2.514893996	2.653688254			
F63912	C10H13N5O5				2.859688625	3.724792823	3.837354458
F63912	C7H11NO4				5.387339304	5.888856113	4.530977592
F63912	C7H14N2O4				0.401719677		0.777745805
F63912	C6H12N2O3				44.43489516	61.78022267	54.32954819
F63912	C6H10N2O3				5.501527409	8.907766958	6.511771323
F63912	C3H6N2				15.39513516	18.19098285	17.44498961
F63912	C6H14N4O2				19.54887442	28.1616011	29.0422551
F63912	C5H5N5				42.81462809	18.0908619	29.80849366
F63912	C5H12N2O2				26.33729068	35.96826307	32.27619816
F63912	C6H13N3O3				47.2783712	59.70157038	53.77565381
F63912	C4H7NO4				256.7631802	351.8861075	307.868427
F63912	C3H5O6P	0.890964754	2.439662529	2.362890865			
F63912	C3H7NO2S				14.16761559	20.2602245	16.67223373
F63912	C6H10O6	82.8742085	94.06224105	87.44864307			
F63912	C3H4O3	4.380223019	2.611120242	2.705329317			
F63912	C20H31N3O19P2						
F63912	C3H6O3	7.418003753	3.107698419	2.206662636			
F63912	C2H5NO2				124.2022189	35.52927493	14.1360392
F63912	C6H11NO3S				0.316101781	1.323936697	1.226612104
F63912	C5H11O7P	1.852750235	2.103143474	1.72739491			
F63912	C6H9N3O2				7.64896181	6.953958008	7.301751586
F63912	C8H11NO3				1.400982436	0.771720442	1.627561068
F63912	C8H14N2O5S				5.624143135	7.884032307	5.917933566
F63912	C6H8O7	115.3829748	132.2820892	134.2615067			
F63912	C6H10O3	8.249308511	8.164932251	7.722100471			
F63912	C3H5NO2				17.50708187	23.07347905	22.55068161
F63912	C5H5NO2				10.76606833	13.00820449	13.63317292
F63912	C6H12O6	3.035771916	2.979103234	2.731008546			
F63912	C11H19NO8				0.122269156	0.345432157	0.138761748
F63912	C5H8O5	14.8576998	16.56729753	14.65708962			
F63912	C5H11NO2				673.216416	899.5738597	816.4907253
F63912	C11H18N2O7				16.53646685	21.65036904	18.97151017
F63912	C3H4O4	1.0843396	0.944441686	1.167622921			
F63912	C7H11NO5				44.91330778	65.2755419	73.07453671
F9670	C20H31N3O19P2						
F9670	C3H4O3	5.554072302	6.378724797	2.832264016			
F9670	C8H14N2O5S				5.447705348	5.864974878	3.270399407
F9670	C8H11NO3				2.143405666	1.86423397	1.503351375
F9670	C5H11O7P	6.09729044	2.617837632	4.019158958			
F9670	C6H9N3O2				9.303756999	8.729987059	5.200600061
F9670	C6H11NO3S				1.902571166	1.281029469	0.781180536
F9670	C3H6O3	14.95035849	6.14607573	3.295716646			
F9670	C2H5NO2				157.1615139	144.282322	75.23935168
F9670	C5H5NO2				18.82726957	21.61582331	23.59252635
F9670	C3H5NO2				16.38685299	16.55812744	12.37011832
F9670	C6H10O3	12.97800393	13.26784409	14.30373494			
F9670	C6H8O7	105.3657155	109.8940755	77.31694228			
F9670	C7H11NO5				59.44484577	59.1973592	42.74002576
F9670	C3H4O4	2.120249196	2.221362988	1.93987713			
F9670	C11H18N2O7				18.93694878	13.26771745	11.05066416
F9670	C5H11NO2				252.5989494	278.8229927	242.8823049
F9670	C5H8O5	9.150845474	10.37781023	8.044563756			
F9670	C11H19NO8				0.949390917	0.377392557	
F9670	C6H12O6	5.922845785	5.313563076	5.403114337			
F9670	C5H6O4	1.937588614	2.040700166	2.076108156			
F9670	C7H8O6	1.236057056	1.684795565	1.788509446			
F9670	C6H11NO2				20.74565641	17.58880418	19.60657231
F9670	C6H10N2O3				10.66166318	9.759062455	6.477924937
F9670	C3H6N2				17.8946219	21.93134286	20.90407149
F9670	C6H12N2O3				35.57674279	32.65429045	25.81999771
F9670	C10H13N5O5				1.390150719	1.448440216	2.181548833
F9670	C7H11NO4				8.253759056	12.14242824	4.228087603
F9670	C7H14N2O4					1.104534853	
F9670	C3H5O6P						
F9670	C6H13N3O3				90.24781809	78.16727502	48.335202
F9670	C4H7NO4				158.8578907	174.4574144	145.1861262
F9670	C5H5N5				23.66077257	25.42212635	20.9696118
F9670	C5H12N2O2				27.26454423	24.84078972	20.03318411
F9670	C6H14N4O2				20.07771211	18.88363413	11.17349151
F9670	C6H10O6	103.1361676	108.7630345	98.04009166			
F9670	C3H7NO2S				10.80456852	10.15493296	7.325230805
F9670	C7H10O7	4.978099754	5.293727248	4.132289382			
F9670	C4H6O4	7.254172666	6.876776045	7.11460745			
F9670	C4H9NO3				39.53490521	24.70670117	12.99541882
F9670	C5H8N2O5				11.98505894	9.014594939	9.604521509
F9670	C6H14N2O2				13.63232655	14.9255641	11.89243755
F9670	C6H13O9P	282.9128835	291.0935846	222.995285			
F9670	C5H6O5	30.72121562	28.02760332	22.60093175			
F9670	C7H7NO2				2.32998338	3.749274412	2.402380268
F9670	C11H15N5O3S				46.18295335	35.08229837	30.09181173
F9670	C4H6O5	10.69867765	13.14965304	9.66736976			
F9670	C7H12O5	34.86777187	30.90377868	22.49565833			
F9670	C7H14N2O3				12.17594465	12.19691264	8.905483367
F9670	C3H7NO2				194.3354896	190.5960349	147.4046622
F9670	C9H11NO2				185.4498119	173.4356832	139.5425843
F9670	C9H10O4	0.754833173	1.249158012	0.764746643			
F9670	C6H11NO3				36.32015655	37.72843999	39.1195667
F9670	C5H8N2O2						
F9670	C6H10O5	25.67201618	26.30431938	27.32978859			
F9670	C5H10N2O3	7.97604209	7.556695529	5.165654237			
F9670	C4H7NO2				630.5734725	548.5253209	422.8982811
F9670	C5H4N4O				1.997709694	2.583929053	3.54726845
F9670	C8H13NO5				10.17017701	10.22528863	8.879528677
F9670	C4H9NO2				30.38476166	31.81809472	24.78323761
F9670	C8H11NO				4.868188202	4.215802827	3.863151757
F9670	C6H12O4	3.189323343	3.514804647	1.352928338			
F9670	C6H6O6	5.592980972	6.455976125	4.63293625			
F9670	C3H7NO3				1234.56977	1303.206569	1419.858746
F9670	C5H8O4	2.785645124	3.099178812	3.204597611			
F9670	C9H15N4O8P				21.22095982	18.70049826	19.54350069
F9670	C5H9NO5				32.58756432	27.70525421	19.64001036
F9670	C5H10O4	11.70568654	12.06156943	7.174540495			
F9670	C6H13NO2				179.8948016	290.3407647	257.8943153
F9670	C3H4O2	0.904843441	0.910782978	1.387934847			
F9670	C5H9NO2				55.32289544	43.94538035	34.49758941
F9670	C11H12N2O2				10.43518265	8.074927727	8.953720505
F9670	C10H13N5O4				0.75237145	1.347355159	0.615772367
F9670	C7H10O4	4.322499437	3.86515697	3.107004241			
F9670	C15H22N6O5S				6.280236529	8.076960473	6.467848037
F9670	C5H7NO3				27.79669947	30.3091678	26.1568252
F9670	C4H4O4	2.784796644	2.80922226	3.261338084			
F9670	C5H9NO4	880.5206598	767.6373951	592.4430415			
F9670	C3H6O4	185.3154747	56.79086512	51.53624655			
F9670	C9H11NO3				29.80479099	29.09740415	20.51606447
F9670	C4H6O3	8.633870354	7.548451206	6.480964872			
F9670	C6H11NO4				21.00563805	18.8407099	13.40716319
F9670	C9H16N2O5				21.15323425	18.75226807	14.27553226
H27930	C7H12O5	46.16339457	47.90921166	52.38704872			
H27930	C7H14N2O3				12.31967892	10.97070764	12.58815151
H27930	C3H7NO2				302.6222014	314.9091427	285.4578514
H27930	C5H6O5	29.90529953	30.19869339	29.61789557			
H27930	C4H6O5	8.676712621	8.671499712	7.241775464			
H27930	C7H7NO2				6.315811552	4.738127629	6.204727641
H27930	C11H15N5O3S				52.16158765	49.04228544	49.1240961
H27930	C6H14N2O2				19.85048764	21.18361068	21.14945035
H27930	C6H13O9P	294.0581559	297.9171665	299.5320574			
H27930	C4H9NO3				11.47115608	11.77640657	10.29633768
H27930	C4H6O4	7.155271862	5.084970922	4.562686469			
H27930	C7H10O7	3.929781119	4.249356054	4.477658531			
H27930	C5H8N2O5				9.466320734	9.581981502	9.519142387
H27930	C4H9NO2				46.28080577	36.09066047	30.78535539
H27930	C8H13NO5				0.133112503	0.271876835	
H27930	C8H11NO				2.476454868	1.94381324	3.278509057
H27930	C4H7NO2				617.6960817	633.7305691	617.4367371
H27930	C5H4N4O				6.857760506	7.264411604	6.874099686
H27930	C5H8N2O2				0.246422348		
H27930	C6H11NO3				14.08163593	19.42843201	14.50387014
H27930	C5H10N2O3	7.20700052	7.36406227	7.469927515			
H27930	C6H10O5	19.61429626	22.19082201	20.99735086			
H27930	C9H10O4	1.523874954	1.239640638	1.430209923			
H27930	C9H11NO2				178.9461807	178.6903072	170.9638952
H27930	C11H12N2O2				10.09636213	7.946227943	7.968898787
H27930	C5H9NO2				40.66091768	46.58673847	45.06674776
H27930	C7H10O4	5.585726738	6.273418869	6.501748623			
H27930	C10H13N5O4				2.163418412	2.113245427	2.461647633
H27930	C6H13NO2				382.0806442	472.2917009	374.116797
H27930	C5H9NO5				34.91324554	36.34960056	33.2655964
H27930	C5H10O4	1.574189425	1.685839197	1.59318128			
H27930	C3H4O2	1.110160198	0.818321436	1.015230888			
H27930	C5H8O4	2.48452922	2.524341492	2.607423554			
H27930	C9H15N4O8P				12.03688188	12.08711975	12.39967704
H27930	C6H12O4	3.245402761	3.313240423	4.366448853			
H27930	C3H7NO3				1124.501194	1164.669119	1136.160232
H27930	C6H6O6	5.977234951	6.908160427	6.813976087			
H27930	C9H16N2O5				21.82639399	20.95035607	19.86548707
H27930	C6H11NO4				5.103509945	4.872328066	5.462362584
H27930	C3H6O4	6.88276699	6.751784108	6.484625786			
H27930	C5H9NO4	811.9055652	831.5435108	829.4576778			
H27930	C9H11NO3				42.99025825	42.95271323	39.28451019
H27930	C4H6O3	8.093831464	7.916426418	7.656639817			
